PC1,PC2,PC3,target
-10.700411678797877,1.4873704195705955,0.14713884329691285,1_0
5.6479643694120245,7.162765665974258,0.17088592996363824,1_1
-0.6442927552502089,-0.6563402038748517,1.377961005078325,1_2
6.617215855533861,-1.6944498789369589,-0.6519126728820347,1_3
3.537032244655454,-1.345185416531024,1.2625480867476393,1_4
4.095034282322222,-1.0751156650840978,-0.45039508142597257,1_5
1.6742087385826023,-0.86277217545127,1.1219645666032092,1_6
2.59871766982765,-0.7429213242382494,-0.8442245318899319,1_7
0.40614436658426906,-0.5254154499768986,1.026330867674555,1_8
1.0859728233152486,-0.48908920256856026,-0.808527656022963,1_9
-0.3792196492369842,-0.3340179175150894,0.9476398261612647,1_10
0.31031290799432054,-0.42949376007514295,-0.45936239518404154,1_11
-1.929515908853056,0.02818703816423021,0.5510189085209017,1_12
-0.4732035289413807,-0.2791437222342687,-0.4616926798911396,1_13
-1.5062777738319582,0.06060481803588468,-0.4069408182554627,1_14
-0.8254158286262654,-0.23442645415584035,-0.28128240970036755,1_15
-2.204152485069858,0.020398788994083976,-0.5177509462334203,1_16
-0.8397714036154946,-0.2583956704981085,-0.34301624678566384,1_17
-2.9527942403389593,0.175900812716316,-0.38993254734027405,1_18
-0.7987856136353599,-0.16594396286780452,-0.4195871439053545,1_19
-2.7187623920302495,0.1574832605527953,-0.5708629045298214,1_20
